"","N_chromis","N_goby","N_wrasse","bc","index","group"
"1",3,2,0,0.01165,3.12825563235489,1
"2",0,0,1,0.01773,6.44821424238599,2
"3",0,0,2,0.0155,7.08686577393511,2
"4",3,0,0,0.01256,7.60990698984558,1
"5",2,0,0,0.01416,7.07986733109914,2
"6",4,3,1,0.01205,1.92727303687404,1
"7",2,0,0,0.01177,7.07986733109914,1
"8",3,0,0,0.01536,7.60990698984558,2
"9",2,1,0,0.01496,3.46270695402946,2
"10",3,0,1,0.01371,7.22129803360538,1
"11",1,0,0,0.01485,6.24685038552398,2
"12",1,0,0,0.01349,6.24685038552398,1
"13",3,0,0,0.01367,7.60990698984558,1
"14",1,0,0,0.01412,6.24685038552398,2
"15",1,1,0,0.01108,2.02808704955754,1
"16",0,2,0,0.01384,0.491892808273304,2
"17",1,4,4,0.01222,1.52063183138205,1
"18",2,0,0,0.01541,7.07986733109914,2
"19",2,1,0,0.01138,3.46270695402946,1
"20",1,0,1,0.01589,6.38340166011874,2
